Designator,Mid X,Mid Y,Rotation,Layer
C1,32.2072,-48.4124,90.0,top
C2,34.7472,-48.4124,90.0,top
C3,50.546,-53.086,270.0,top
C4,49.2252,-48.439451,90.0,top
C5,45.7708,-40.0812,270.0,top
C6,28.4988,-30.0736,90.0,top
C7,30.8356,-30.0736,270.0,top
C8,33.1724,-30.0736,270.0,top
D1,40.926,-30.0736,180.0,top
J1,46.6852,-23.368,0.0,top
J10,56.134,-37.5,90.0,top
J2,33.2452,-23.368,0.0,top
J3,37.7252,-23.368,0.0,top
J4,51.1652,-23.368,0.0,top
J5,28.7652,-23.368,0.0,top
J6,42.2052,-23.368,0.0,top
J7,35.306,-53.1368,90.0,top
MK1,29.554,-52.63,0.0,top
Q1,38.9128,-35.2552,0.0,top
Q2,48.006,-31.461,90.0,top
R1,29.5656,-48.4124,270.0,top
R2,48.006,-53.086,90.0,top
R3,33.3248,-35.5092,270.0,top
R4,35.5092,-35.5092,270.0,top
R5,43.3832,-35.2552,90.0,top
R6,35.5092,-30.0736,90.0,top
R7,58.5216,-29.7707,90.0,top
R8,56.0832,-29.7688,90.0,top
SW1,28.4988,-37.5,270.0,top
U1,40.6908,-47.6504,180.0,top
U2,39.7764,-41.1988,180.0,top
U3,35.936,-37.5,270.0,bottom
